NEPW100,266.66705,66.49005,0.3118,3,2
NEPW1000,266.92871,66.53197,0.02,-1,0
NEPW10000,267.7796,66.43983,0.1467,1,0
NEPW100000,273.34604,66.78221,0.3021,3,2
NEPW100002,273.34647,66.67826,0,-1,-2
NEPW100003,273.34695,66.74612,0,-1,-2
NEPW100004,273.34695,66.39777,0.2924,1,2
NEPW100005,273.34702,66.56078,0.6728,5,6
NEPW100006,273.34705,66.35849,0,-1,-2
NEPW100007,273.3472,66.5511,0.2391,1,2
NEPW100008,273.34744,66.40191,0.6537,5,6
NEPW10001,267.7796,66.32452,1.0916,9,10
NEPW100010,273.3483,66.59763,0.8169,7,8
NEPW100011,273.3483,66.73649,0.5817,5,4
NEPW100013,273.34854,66.58936,0.7821,7,6
NEPW100014,273.34888,66.68139,1.0964,9,10
NEPW100015,273.34894,66.76137,0.7767,7,6
NEPW100017,273.35013,66.38068,0.8154,7,8
NEPW100019,273.35043,66.78362,0.5678,5,4
NEPW10002,267.77975,66.34745,0.2954,1,2
NEPW100020,273.35077,66.32124,0.5337,5,4
NEPW100023,273.3515,66.39505,0.5622,5,4
NEPW100024,273.35168,66.42706,0.547,5,4
NEPW100025,273.35184,66.63766,0.459,3,4
NEPW100026,273.35193,66.56893,0.3373,3,2
NEPW100027,273.35223,66.3321,0.02,-1,0
NEPW100029,273.35269,66.69381,0.117,1,0
NEPW10003,267.77979,66.81953,0.6274,5,6
NEPW100031,273.35394,66.51744,0.1751,1,0
NEPW100033,273.35489,66.7822,0.7614,7,6
NEPW100034,273.35492,66.30582,0.2431,1,2
NEPW100035,273.3551,66.44346,0.3963,3,2
NEPW100036,273.35544,66.62951,0.136,1,0
NEPW100037,273.35547,66.6989,0.8099,7,8
NEPW100039,273.3558,66.36,0,-1,-2
NEPW10004,267.77985,67.05865,0.5247,5,4
NEPW100041,273.35605,66.29855,0.5861,5,4
NEPW100042,273.35608,66.73492,0.7584,7,6
NEPW100043,273.35632,66.57544,1.9007,19,18
NEPW100044,273.35641,66.52557,0.9475,9,8
NEPW100046,273.35663,66.37786,0.552,5,4
NEPW100047,273.35666,66.3623,0.5454,5,4
NEPW100048,273.35678,66.67794,0.4062,3,4
NEPW100049,273.3569,66.37321,0.7081,7,6
NEPW10005,267.77997,66.72698,0.7302,7,6
NEPW100050,273.35699,66.72808,0.7724,7,6
NEPW100052,273.3576,66.44684,0.5205,5,4
NEPW100055,273.35837,66.54818,1.6023,15,16
NEPW100057,273.35886,66.35143,0.7269,7,6
NEPW100058,273.35895,66.66349,1.3442,13,12
NEPW100059,273.35898,66.5611,0.9523,9,8
NEPW10006,267.78,65.58707,0.5373,5,4
NEPW100060,273.35916,66.74423,0,-1,-2
NEPW100062,273.35922,66.53857,0.4226,3,4
NEPW100063,273.35931,66.3755,0.8601,7,8
NEPW100064,273.35944,66.72324,0,-1,-2
NEPW100065,273.35992,66.30569,0.205,1,2
NEPW100066,273.35992,66.40048,0.0978,-1,0
NEPW100067,273.36002,66.43835,0.0396,-1,0
NEPW100069,273.3605,66.48266,1.0522,9,10
NEPW10007,267.78009,66.17629,0.5182,5,4
NEPW100071,273.36154,66.32886,0.1567,1,0
NEPW100072,273.36172,66.78287,0.1918,1,0
NEPW100074,273.36206,66.58022,1.0462,9,10
NEPW100075,273.36237,66.42853,0.02,-1,0
NEPW100076,273.36295,66.58579,0.659,5,6
NEPW100077,273.36322,66.72654,0.5824,5,4
NEPW100078,273.36322,66.43822,0.7331,7,6
NEPW100079,273.36346,66.70741,0.02,-1,0
NEPW10008,267.78009,66.26392,0,-1,-2
NEPW100081,273.36356,66.73837,0.5351,5,4
NEPW100083,273.36484,66.5145,0.3191,3,2
NEPW100084,273.36514,66.31741,0.8583,7,8
NEPW100085,273.36517,66.68764,0.02,-1,0
NEPW100086,273.36533,66.35455,0.2064,1,2
NEPW100087,273.36554,66.55204,0,-1,-2
NEPW100089,273.36584,66.33515,0.5338,5,4
NEPW10009,267.78012,66.54889,0.02,-1,0
NEPW100090,273.36584,66.71667,0.4094,3,4
NEPW100092,273.366,66.33925,0.7515,7,6
NEPW100093,273.36603,66.66277,1.0669,9,10
NEPW100094,273.36615,66.78016,1.0393,9,10
NEPW100096,273.36771,66.67609,0.02,-1,0
NEPW100099,273.36823,66.61858,0.9637,9,8
NEPW1001,266.92877,66.51559,0.096,-1,0
NEPW10010,267.78018,67.10999,0.4254,3,4
NEPW100101,273.36874,66.73995,1.2262,11,12
NEPW100102,273.36887,66.40833,0.6025,5,6
NEPW100104,273.36902,66.59505,0,-1,-2
NEPW100105,273.36902,66.66695,0.9248,9,8
NEPW100106,273.36905,66.58572,0.7055,7,6
NEPW100107,273.36929,66.42108,1.3474,13,12
NEPW100108,273.36932,66.75204,0.02,-1,0
NEPW10011,267.78018,66.41739,0.3047,3,2
NEPW100111,273.37018,66.42603,0.1508,1,0
NEPW100112,273.37067,66.78214,1.2827,11,12
NEPW100113,273.3707,66.39511,0.1471,1,0
NEPW100115,273.37195,66.59194,1.0885,9,10
NEPW100116,273.37198,66.7159,0.02,-1,0
NEPW100117,273.37262,66.65269,0.4564,3,4
NEPW100118,273.37271,66.701,0.2965,1,2
NEPW10012,267.7803,66.67344,0.4702,3,4
NEPW100120,273.3728,66.63295,0,-1,-2
NEPW100126,273.37314,66.66492,1.0041,9,10
NEPW100128,273.37326,66.67288,0.02,-1,0
NEPW100129,273.37329,66.55807,0.3416,3,2
NEPW10013,267.7803,66.23059,0.4469,3,4
NEPW100130,273.3735,66.57296,0.6052,5,6
NEPW100131,273.37442,66.706,0,-1,-2
NEPW100132,273.37454,66.38826,1.0796,9,10
NEPW100133,273.37476,66.65778,1.7903,17,16
NEPW100134,273.3761,66.39061,0.8183,7,8
NEPW100135,273.37668,66.74821,0.0842,-1,0
NEPW100137,273.37726,66.36638,0.5791,5,4
NEPW100138,273.37732,66.43915,0.02,-1,0
NEPW10014,267.78033,66.86347,1.063,9,10
